;Comuna;Trabajo;Etnia;Sexo;Freq;anio;codigo
1;Algarrobo;No;No pertenece a ningún pueblo indígena;Mujer;3036;2017;5602
2;Algarrobo;Si, ahora mismo;No pertenece a ningún pueblo indígena;Mujer;707;2017;5602
3;Algarrobo;Sí, en otra época del año;No pertenece a ningún pueblo indígena;Mujer;309;2017;5602
4;Algarrobo;Si, ahora mismo;Mapuche;Mujer;88;2017;5602
5;Algarrobo;No;No pertenece a ningún pueblo indígena;Hombre;1353;2017;5602
6;Algarrobo;Si, ahora mismo;Mapuche;Hombre;185;2017;5602
7;Algarrobo;Sí, en otra época del año;No pertenece a ningún pueblo indígena;Hombre;41;2017;5602
8;Algarrobo;No;Mapuche;Hombre;89;2017;5602
9;Algarrobo;No;Mapuche;Mujer;239;2017;5602
10;Algarrobo;Si, ahora mismo;No pertenece a ningún pueblo indígena;Hombre;788;2017;5602
11;Alhué;Sí, en otra época del año;Aimara;Mujer;16;2017;13502
12;Alhué;Si, ahora mismo;No pertenece a ningún pueblo indígena;Hombre;155;2017;13502
13;Alhué;No;Mapuche;Mujer;15;2017;13502
14;Alhué;Si, ahora mismo;No pertenece a ningún pueblo indígena;Mujer;142;2017;13502
15;Alhué;No sabe/no responde;No pertenece a ningún pueblo indígena;Hombre;16;2017;13502
16;Alhué;No sabe/no responde;No pertenece a ningún pueblo indígena;Mujer;15;2017;13502
17;Alhué;No;No pertenece a ningún pueblo indígena;Hombre;489;2017;13502
18;Alhué;Sí, en otra época del año;No pertenece a ningún pueblo indígena;Mujer;82;2017;13502
19;Alhué;No;No pertenece a ningún pueblo indígena;Mujer;729;2017;13502
20;Alhué;Sí, en otra época del año;No pertenece a ningún pueblo indígena;Hombre;32;2017;13502
21;Alto Biobío;No;Quechua;Hombre;102;2017;8314
22;Alto Biobío;Si, ahora mismo;No pertenece a ningún pueblo indígena;Hombre;190;2017;8314
23;Alto Biobío;Sí, en otra época del año;No pertenece a ningún pueblo indígena;Hombre;8;2017;8314
24;Alto Biobío;No;No sabe/no responde;Hombre;12;2017;8314
25;Alto Biobío;No;No pertenece a ningún pueblo indígena;Mujer;578;2017;8314
26;Alto Biobío;No;Mapuche;Hombre;1438;2017;8314
27;Alto Biobío;Si, ahora mismo;No pertenece a ningún pueblo indígena;Mujer;166;2017;8314
